survived;sex;age;n_siblings_spouses;parch;fare;class;deck;embark_town;alone
0;male;22.00;1;0;07.25;Third;unknown;Southampton;n
1;female;38.00.00;1;0;712.833;First;C;Cherbourg;n
1;female;26.00.00;0;0;7.925;Third;unknown;Southampton;y
1;female;35.00.00;1;0;53.01.00;First;C;Southampton;n
0;male;28.00.00;0;0;84.583;Third;unknown;Queenstown;y
0;male;02.00;3;1;21.075;Third;unknown;Southampton;n
1;female;27.00.00;0;2;111.333;Third;unknown;Southampton;n
1;female;14.00;1;0;300.708;Second;unknown;Cherbourg;n
1;female;04.00;1;1;16.07;Third;G;Southampton;n
0;male;20.00;0;0;08.05;Third;unknown;Southampton;y
0;male;39.00.00;1;5;31.275;Third;unknown;Southampton;n
0;female;14.00;0;0;78.542;Third;unknown;Southampton;y
0;male;02.00;4;1;29.125;Third;unknown;Queenstown;n
1;male;28.00.00;0;0;13.00;Second;unknown;Southampton;y
0;female;31.00.00;1;0;18.00;Third;unknown;Southampton;n
1;female;28.00.00;0;0;7.225;Third;unknown;Cherbourg;y
0;male;35.00.00;0;0;26.00.00;Second;unknown;Southampton;y
1;male;28.00.00;0;0;35.05.00;First;A;Southampton;y
1;female;38.00.00;1;5;313.875;Third;unknown;Southampton;n
0;male;28.00.00;0;0;7.225;Third;unknown;Cherbourg;y
0;male;19.00;3;2;263.00.00;First;C;Southampton;n
1;female;28.00.00;0;0;78.792;Third;unknown;Queenstown;y
0;male;28.00.00;0;0;78.958;Third;unknown;Southampton;y
0;male;40.00.00;0;0;277.208;First;unknown;Cherbourg;y
1;female;28.00.00;1;0;1.465.208;First;B;Cherbourg;n
1;female;28.00.00;0;0;0,34375;Third;unknown;Queenstown;y
0;male;66.00.00;0;0;10.05;Second;unknown;Southampton;y
0;male;28.00.00;1;0;821.708;First;unknown;Cherbourg;n
0;male;42.00.00;1;0;52.00.00;First;unknown;Southampton;n
1;male;28.00.00;0;0;72.292;Third;unknown;Cherbourg;y
1;female;14.00;1;0;112.417;Third;unknown;Cherbourg;n
0;female;40.00.00;1;0;9.475;Third;unknown;Southampton;n
0;female;27.00.00;1;0;21.00;Second;unknown;Southampton;n
0;male;28.00.00;0;0;78.958;Third;unknown;Cherbourg;y
1;female;03.00;1;2;415.792;Second;unknown;Cherbourg;n
0;male;28.00.00;0;0;08.05;Third;unknown;Southampton;y
0;male;28.00.00;1;0;15.05;Third;unknown;Queenstown;n
0;male;28.00.00;2;0;216.792;Third;unknown;Cherbourg;n
0;female;18.00;1;0;17.08;Third;unknown;Southampton;n
0;male;07.00;4;1;396.875;Third;unknown;Southampton;n
1;female;49.00.00;1;0;767.292;First;D;Cherbourg;n
1;female;29.00.00;1;0;26.00.00;Second;unknown;Southampton;n
0;male;65.00.00;0;1;619.792;First;B;Cherbourg;n
1;male;28.00.00;0;0;35.05.00;First;C;Southampton;y
1;female;21.00;0;0;10.05;Second;unknown;Southampton;y
0;male;28.05.00;0;0;72.292;Third;unknown;Cherbourg;y
0;male;11.00;5;2;46.09.00;Third;unknown;Southampton;n
0;male;22.00;0;0;72.292;Third;unknown;Cherbourg;y
1;female;38.00.00;0;0;80.00.00;First;B;unknown;y
0;male;45.00.00;1;0;83.475;First;C;Southampton;n
0;male;04.00;3;2;27.09.00;Third;unknown;Southampton;n
1;male;28.00.00;1;1;152.458;Third;unknown;Cherbourg;n
0;male;19.00;0;0;81.583;Third;unknown;Southampton;y
1;female;17.00;4;2;7.925;Third;unknown;Southampton;n
0;male;26.00.00;2;0;86.625;Third;unknown;Southampton;n
0;male;32.00.00;0;0;10.05;Second;unknown;Southampton;y
0;male;21.00;0;0;73.05.00;Second;unknown;Southampton;y
1;male;32.00.00;0;0;564.958;Third;unknown;Southampton;y
0;male;25.00.00;0;0;0,336805556;Third;F;Southampton;y
0;male;28.00.00;0;0;78.958;Third;unknown;Southampton;y
0;male;28.00.00;0;0;08.05;Third;unknown;Southampton;y
1;male;0,057638889;0;2;29.00.00;Second;unknown;Southampton;n
1;female;30.00.00;0;0;12.475;Third;unknown;Southampton;y
0;male;22.00;0;0;09.00;Third;unknown;Southampton;y
1;male;29.00.00;0;0;09.05;Third;unknown;Southampton;y
1;female;28.00.00;0;0;77.875;Third;unknown;Queenstown;y
0;male;28.00.00;0;0;47.01.00;First;unknown;Southampton;y
0;male;16.00;1;3;34.375;Third;unknown;Southampton;n
0;male;28.00.00;0;0;08.05;Third;unknown;Southampton;y
1;female;23.00;3;2;263.00.00;First;C;Southampton;n
0;male;24.00.00;0;0;08.05;Third;unknown;Southampton;y
0;male;46.00.00;1;0;61.175;First;E;Southampton;n
0;male;59.00.00;0;0;07.25;Third;unknown;Southampton;y
0;male;28.00.00;0;0;08.05;Third;unknown;Southampton;y
0;male;71.00.00;0;0;346.542;First;A;Cherbourg;y
1;male;23.00;0;1;633.583;First;D;Cherbourg;n
1;female;34.00.00;0;1;23.00;Second;unknown;Southampton;n
0;male;34.00.00;1;0;26.00.00;Second;unknown;Southampton;n
0;female;28.00.00;0;0;78.958;Third;unknown;Southampton;y
0;male;28.00.00;0;0;78.958;Third;unknown;Southampton;y
0;male;21.00;0;1;772.875;First;D;Southampton;n
0;male;33.00.00;0;0;86.542;Third;unknown;Southampton;y
0;male;37.00.00;2;0;7.925;Third;unknown;Southampton;n
0;male;28.00.00;0;0;78.958;Third;unknown;Southampton;y
1;male;28.00.00;0;0;7.775;Third;unknown;Southampton;y
1;female;28.00.00;1;0;24.15.00;Third;unknown;Queenstown;n
0;male;47.00.00;0;0;52.00.00;First;C;Southampton;y
0;female;14.05;1;0;144.542;Third;unknown;Cherbourg;n
0;male;22.00;0;0;08.05;Third;unknown;Southampton;y
0;female;17.00;0;0;144.583;Third;unknown;Cherbourg;y
0;male;21.00;0;0;7.925;Third;unknown;Southampton;y
0;male;70.05.00;0;0;0,34375;Third;unknown;Queenstown;y
0;male;29.00.00;1;0;21.00;Second;unknown;Southampton;n
0;male;24.00.00;0;1;2.475.208;First;B;Cherbourg;n
0;male;28.00.00;0;0;08.05;Third;unknown;Southampton;y
0;male;32.05.00;1;0;300.708;Second;unknown;Cherbourg;n
1;female;32.05.00;0;0;13.00;Second;E;Southampton;y
0;male;28.00.00;0;0;0,34375;Third;unknown;Queenstown;y
1;male;24.00.00;0;0;71.417;Third;unknown;Southampton;y
0;male;45.00.00;0;0;6.975;Third;unknown;Southampton;y
0;male;20.00;0;0;07.05;Third;unknown;Southampton;y
0;female;47.00.00;1;0;14.05;Third;unknown;Southampton;n
0;male;23.00;0;0;150.458;Second;unknown;Cherbourg;y
1;female;19.00;0;2;262.833;First;D;Southampton;n
0;male;37.00.00;1;0;53.01.00;First;C;Southampton;n
0;male;16.00;0;0;92.167;Third;unknown;Southampton;y
0;male;24.00.00;0;0;79.02.00;First;B;Cherbourg;y
0;female;28.00.00;0;2;152.458;Third;unknown;Cherbourg;n
1;female;22.00;0;0;0,34375;Third;unknown;Southampton;y
0;male;19.00;0;0;0,302083333;Third;unknown;Queenstown;y
0;male;18.00;0;0;11.05;Second;unknown;Southampton;y
0;female;09.00;2;2;34.375;Third;unknown;Southampton;n
0;male;51.00.00;0;0;12.525;Second;unknown;Southampton;y
0;male;55.05.00;0;0;08.05;Third;unknown;Southampton;y
0;male;40.05.00;0;2;14.05;Third;unknown;Southampton;n
0;male;28.00.00;0;0;73.125;Third;unknown;Southampton;y
0;male;51.00.00;0;1;613.792;First;unknown;Cherbourg;n
1;female;16.00;0;0;77.333;Third;unknown;Queenstown;y
0;male;28.00.00;0;0;86.625;Third;unknown;Southampton;y
0;male;28.00.00;8;2;69.55.00;Third;unknown;Southampton;n
0;male;44.00.00;0;1;16.01;Third;unknown;Southampton;n
0;male;26.00.00;0;0;7.775;Third;unknown;Southampton;y
0;male;17.00;0;0;86.625;Third;unknown;Southampton;y
0;male;01.00;4;1;396.875;Third;unknown;Southampton;n
1;female;28.00.00;0;1;55.00.00;First;E;Southampton;n
0;male;28.00.00;0;0;564.958;Third;unknown;Southampton;y
0;male;04.00;4;1;29.125;Third;unknown;Queenstown;n
0;male;18.00;1;1;78.542;Third;unknown;Southampton;n
0;male;28.00.00;3;1;254.667;Third;unknown;Southampton;n
0;female;50.00.00;0;0;287.125;First;C;Cherbourg;y
0;male;30.00.00;0;0;13.00;Second;unknown;Southampton;y
0;male;36.00.00;0;0;00.00;Third;unknown;Southampton;y
0;female;28.00.00;8;2;69.55.00;Third;unknown;Southampton;n
0;male;28.00.00;0;0;15.05;Second;unknown;Cherbourg;y
0;male;09.00;4;2;313.875;Third;unknown;Southampton;n
1;female;04.00;0;2;22.025;Third;unknown;Southampton;n
1;female;28.00.00;1;0;15.05;Third;unknown;Queenstown;n
1;male;45.00.00;0;0;26.55.00;First;unknown;Southampton;y
0;male;36.00.00;0;0;78.958;Third;unknown;Southampton;y
1;female;32.00.00;0;0;13.00;Second;unknown;Southampton;y
1;female;19.00;1;0;78.542;Third;unknown;Southampton;n
1;male;03.00;1;1;26.00.00;Second;F;Southampton;n
1;female;44.00.00;0;0;277.208;First;B;Cherbourg;y
1;female;58.00.00;0;0;1.465.208;First;B;Cherbourg;y
0;male;28.00.00;0;0;0,34375;Third;unknown;Queenstown;y
1;female;28.00.00;0;0;0,34375;Third;unknown;Queenstown;y
0;female;24.00.00;0;0;13.00;Second;unknown;Southampton;y
0;male;28.00.00;0;0;09.05;Third;unknown;Southampton;y
0;male;28.00.00;8;2;69.55.00;Third;unknown;Southampton;n
0;male;34.00.00;0;0;64.958;Third;unknown;Southampton;y
0;female;02.00;0;1;104.625;Third;G;Southampton;n
0;male;32.00.00;1;0;0,684027778;Third;unknown;Southampton;n
1;male;26.00.00;0;0;187.875;Third;unknown;Cherbourg;y
1;female;16.00;0;0;0,34375;Third;unknown;Queenstown;y
1;male;40.00.00;0;0;31.00.00;First;A;Cherbourg;y
1;female;35.00.00;0;0;21.00;Second;unknown;Southampton;y
0;male;22.00;0;0;07.25;Third;unknown;Southampton;y
0;male;28.00.00;1;0;0,34375;Third;unknown;Queenstown;n
1;female;31.00.00;1;0;113.275;First;D;Cherbourg;n
1;female;27.00.00;0;0;7.925;Third;unknown;Southampton;y
0;male;42.00.00;1;0;27.00.00;Second;unknown;Southampton;n
0;male;30.00.00;0;0;10.05;Second;unknown;Southampton;y
1;male;16.00;0;0;08.05;Third;unknown;Southampton;y
0;male;51.00.00;0;0;08.05;Third;unknown;Southampton;y
0;male;22.00;0;0;09.35;Third;unknown;Southampton;y
1;male;19.00;0;0;10.05;Second;unknown;Southampton;y
0;male;20.05;0;0;07.25;Third;unknown;Southampton;y
0;male;18.00;0;0;13.00;Second;unknown;Southampton;y
0;female;28.00.00;3;1;254.667;Third;unknown;Southampton;n
1;female;35.00.00;1;0;83.475;First;C;Southampton;n
0;male;29.00.00;0;0;7.775;Third;unknown;Southampton;y
0;male;59.00.00;0;0;13.05;Second;unknown;Southampton;y
0;female;28.00.00;0;0;07.55;Third;unknown;Southampton;y
0;male;44.00.00;1;0;26.00.00;Second;unknown;Southampton;n
0;male;19.00;0;0;10.05;Second;unknown;Southampton;y
0;male;33.00.00;0;0;12.275;Second;unknown;Southampton;y
0;female;28.00.00;1;0;144.542;Third;unknown;Cherbourg;n
1;female;28.00.00;1;0;15.05;Third;unknown;Queenstown;n
0;male;22.00;0;0;7.125;Third;unknown;Southampton;y
0;male;30.00.00;0;0;7.225;Third;unknown;Cherbourg;y
0;male;44.00.00;2;0;90.00.00;First;C;Queenstown;n
1;female;24.00.00;0;2;14.05;Second;unknown;Southampton;n
0;male;28.00.00;0;0;07.25;Third;unknown;Southampton;y
0;female;29.00.00;1;1;104.625;Third;G;Southampton;n
0;male;30.00.00;1;0;16.01;Third;unknown;Southampton;n
0;female;41.00.00;0;2;202.125;Third;unknown;Southampton;n
1;female;28.00.00;0;0;79.02.00;First;unknown;Cherbourg;y
1;female;35.00.00;0;0;5.123.292;First;unknown;Cherbourg;y
1;female;50.00.00;0;1;26.00.00;Second;unknown;Southampton;n
0;male;28.00.00;0;0;0,34375;Third;unknown;Queenstown;y
1;male;03.00;4;2;313.875;Third;unknown;Southampton;n
0;male;40.00.00;0;0;00.00;First;B;Southampton;y
0;female;28.00.00;0;0;0,34375;Third;unknown;Queenstown;y
0;male;36.00.00;0;0;10.05;Second;unknown;Southampton;y
0;male;16.00;4;1;396.875;Third;unknown;Southampton;n
1;male;25.00.00;1;0;7.775;Third;unknown;Southampton;n
1;female;58.00.00;0;1;1.534.625;First;C;Southampton;n
1;female;35.00.00;0;0;1.356.333;First;C;Southampton;y
0;male;28.00.00;0;0;31.00.00;First;unknown;Southampton;y
1;male;25.00.00;0;0;00.00;Third;unknown;Southampton;y
1;female;41.00.00;0;1;19.05;Second;unknown;Southampton;n
0;male;37.00.00;0;1;29.07.00;First;C;Cherbourg;n
1;female;28.00.00;0;0;0,34375;Third;unknown;Queenstown;y
1;female;63.00.00;1;0;779.583;First;D;Southampton;n
0;female;45.00.00;0;0;0,34375;Third;unknown;Southampton;y
0;male;28.00.00;0;0;00.00;Second;unknown;Southampton;y
0;male;07.00;4;1;29.125;Third;unknown;Queenstown;n
1;female;35.00.00;1;1;20.25;Third;unknown;Southampton;n
0;male;28.00.00;0;0;78.542;Third;unknown;Southampton;y
0;male;16.00;0;0;09.05;Third;unknown;Southampton;y
0;male;28.00.00;0;0;26.00.00;First;A;Southampton;y
1;female;26.00.00;0;0;78.85;First;unknown;Southampton;y
0;male;36.00.00;0;0;12.875;Second;D;Cherbourg;y
0;male;24.00.00;0;0;78.958;Third;unknown;Southampton;y
1;male;28.00.00;0;0;30.05.00;First;C;Southampton;y
1;female;50.00.00;0;1;2.475.208;First;B;Cherbourg;n
1;female;28.00.00;0;0;0,34375;Third;unknown;Queenstown;y
0;male;19.00;0;0;00.00;Third;unknown;Southampton;y
1;female;28.00.00;0;0;12.35;Second;E;Queenstown;y
0;male;28.00.00;0;0;08.05;Third;unknown;Southampton;y
1;female;28.00.00;0;0;1.108.833;First;unknown;Cherbourg;y
1;female;17.00;1;0;108.09.00;First;C;Cherbourg;n
0;male;30.00.00;1;0;24.00.00;Second;unknown;Cherbourg;n
1;female;30.00.00;0;0;569.292;First;E;Cherbourg;y
1;female;24.00.00;0;0;831.583;First;C;Cherbourg;y
1;female;18.00;2;2;262.375;First;B;Cherbourg;n
0;female;26.00.00;1;1;26.00.00;Second;unknown;Southampton;n
0;male;28.00.00;0;0;78.958;Third;unknown;Southampton;y
0;male;43.00.00;1;1;26.25.00;Second;unknown;Southampton;n
1;female;24.00.00;1;0;26.00.00;Second;unknown;Southampton;n
1;female;31.00.00;0;2;1.648.667;First;C;Southampton;n
1;female;40.00.00;1;1;134.05.00;First;E;Cherbourg;n
0;male;22.00;0;0;07.25;Third;unknown;Southampton;y
0;male;27.00.00;0;0;78.958;Third;unknown;Southampton;y
1;female;22.00;1;1;29.00.00;Second;unknown;Southampton;n
0;male;28.00.00;8;2;69.55.00;Third;unknown;Southampton;n
1;female;36.00.00;0;0;1.356.333;First;C;Cherbourg;y
0;male;61.00.00;0;0;62.375;Third;unknown;Southampton;y
1;female;31.00.00;1;1;20.525;Third;unknown;Southampton;n
1;female;28.00.00;2;0;23.25;Third;unknown;Queenstown;n
0;male;38.00.00;0;1;1.534.625;First;C;Southampton;n
1;female;28.00.00;1;0;133.65;First;unknown;Southampton;n
0;male;28.00.00;0;0;78.958;Third;unknown;Southampton;y
0;male;29.00.00;1;0;66.06.00;First;C;Southampton;n
1;male;45.00.00;0;0;08.05;Third;unknown;Southampton;y
0;male;45.00.00;0;0;35.05.00;First;unknown;Southampton;y
0;male;28.00.00;0;0;13.00;Second;unknown;Southampton;y
0;male;25.00.00;0;0;13.00;Second;unknown;Southampton;y
0;male;36.00.00;0;0;13.00;Second;unknown;Southampton;y
1;female;24.00.00;0;0;13.00;Second;F;Southampton;y
1;female;40.00.00;0;0;13.00;Second;unknown;Southampton;y
1;female;28.00.00;1;0;16.01;Third;unknown;Southampton;n
0;male;15.00;1;1;72.292;Third;unknown;Cherbourg;n
0;male;25.00.00;1;0;17.08;Third;unknown;Southampton;n
0;male;28.00.00;0;0;7.225;Third;unknown;Cherbourg;y
0;male;28.00.00;0;0;09.05;Third;unknown;Southampton;y
1;female;22.00;0;1;55.00.00;First;E;Southampton;n
0;female;38.00.00;0;0;13.00;Second;unknown;Southampton;y
1;female;28.00.00;0;0;78.792;Third;unknown;Queenstown;y
1;female;28.00.00;0;0;78.792;Third;unknown;Queenstown;y
0;male;40.00.00;1;4;27.09.00;Third;unknown;Southampton;n
0;male;29.00.00;1;0;277.208;Second;unknown;Cherbourg;n
0;female;45.00.00;0;1;144.542;Third;unknown;Cherbourg;n
0;male;35.00.00;0;0;07.05;Third;unknown;Southampton;y
0;male;28.00.00;1;0;15.05;Third;unknown;Queenstown;n
1;female;60.00.00;1;0;75.25.00;First;D;Cherbourg;n
1;female;28.00.00;0;0;72.292;Third;unknown;Cherbourg;y
1;female;28.00.00;0;0;0,34375;Third;unknown;Queenstown;y
1;female;24.00.00;0;0;69.03.00;First;B;Cherbourg;y
0;male;18.00;1;0;64.958;Third;unknown;Southampton;n
0;male;19.00;0;0;08.05;Third;unknown;Southampton;y
1;female;28.00.00;1;0;821.708;First;unknown;Cherbourg;n
0;male;27.00.00;0;2;211.05.00;First;C;Cherbourg;n
0;male;19.00;0;0;7.775;Third;unknown;Southampton;y
1;female;42.00.00;0;0;227.525;First;unknown;Cherbourg;y
0;male;32.00.00;0;0;7.925;Third;unknown;Southampton;y
0;male;28.00.00;0;0;78.958;Third;unknown;Southampton;y
0;male;18.00;0;0;73.05.00;Second;unknown;Southampton;y
0;male;01.00;5;2;46.09.00;Third;unknown;Southampton;n
0;male;28.00.00;0;0;77.292;Third;unknown;Queenstown;y
1;female;17.00;0;0;12.00;Second;unknown;Cherbourg;y
1;male;36.00.00;1;2;120.00.00;First;B;Southampton;n
1;male;21.00;0;0;77.958;Third;unknown;Southampton;y
1;female;23.00;1;0;113.275;First;D;Cherbourg;n
1;female;24.00.00;0;2;16.07;Third;G;Southampton;n
0;male;22.00;0;0;77.958;Third;unknown;Southampton;y
0;female;31.00.00;0;0;78.542;Third;unknown;Southampton;y
0;male;46.00.00;0;0;26.00.00;Second;unknown;Southampton;y
0;male;23.00;0;0;10.05;Second;unknown;Southampton;y
1;male;39.00.00;0;0;7.925;Third;unknown;Southampton;y
0;male;26.00.00;0;0;08.05;Third;unknown;Southampton;y
0;male;28.00.00;1;0;0,684027778;Third;unknown;Southampton;n
0;male;34.00.00;1;0;21.00;Second;unknown;Southampton;n
1;male;03.00;1;1;0,802083333;Second;unknown;Southampton;n
0;male;21.00;0;0;7.775;Third;unknown;Southampton;y
0;female;28.00.00;3;1;254.667;Third;unknown;Southampton;n
0;male;28.00.00;0;0;78.958;Third;unknown;Southampton;y
0;male;28.00.00;0;0;68.583;Third;unknown;Queenstown;y
0;male;28.00.00;0;0;00.00;Second;unknown;Southampton;y
1;male;44.00.00;0;0;7.925;Third;unknown;Southampton;y
0;female;28.00.00;0;0;08.05;Third;unknown;Southampton;y
1;female;34.00.00;1;1;32.05.00;Second;unknown;Southampton;n
1;female;18.00;0;2;13.00;Second;unknown;Southampton;n
0;male;30.00.00;0;0;13.00;Second;unknown;Southampton;y
0;male;28.00.00;0;0;78.958;Third;unknown;Cherbourg;y
0;male;21.00;0;0;77.333;Third;unknown;Queenstown;y
0;male;18.00;1;1;202.125;Third;unknown;Southampton;n
1;female;19.00;0;0;26.00.00;Second;unknown;Southampton;y
0;male;28.00.00;0;0;0,34375;Third;unknown;Queenstown;y
1;male;32.00.00;0;0;08.05;Third;E;Southampton;y
1;male;28.00.00;0;0;26.55.00;First;C;Southampton;y
1;female;28.00.00;1;0;16.01;Third;unknown;Southampton;n
